City,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
Aquiraz,BR,1584318099,88,-3.9,-38.39,80.6,80.01,3.36
Santiago del Estero,AR,1584318089,82,-27.8,-64.26,65.12,65.12,4.52
Lábrea,BR,1584318103,95,-7.26,-64.8,76.57,76.57,1.48
Talcahuano,CL,1584318105,67,-36.72,-73.12,60.8,60.8,13.87
Upata,VE,1584318108,77,8.01,-62.4,74.93,74.93,6.06
Muisne,EC,1584318110,94,0.6,-80.03,78.8,78.8,4.7
Uyuni,BO,1584318112,42,-20.46,-66.83,61.86,61.86,5.28
Sucúa,EC,1584318114,69,-2.47,-78.17,77.0,77.0,5.82
Coruripe,BR,1584318117,78,-10.13,-36.18,81.59,81.59,9.86
Puerto Carreño,CO,1584318119,36,6.19,-67.49,89.55,89.55,10.38
Yurimaguas,PE,1584318121,100,-5.9,-76.08,48.2,48.2,1.5
Naranjal,EC,1584318123,94,-2.67,-79.62,78.8,78.01,6.93
San Joaquin,VE,1584318125,83,10.26,-67.79,74.77,74.77,6.42
Acarí,PE,1584318128,91,-15.43,-74.62,67.64,67.64,3.04
Viloco,BO,1584318130,87,-16.95,-67.55,43.27,43.27,4.63
Constitución,CL,1584318133,86,-35.33,-72.42,53.1,53.1,7.0
Apartadó,CO,1584318135,88,7.88,-76.63,72.75,72.75,2.93
Porto Walter,BR,1584317703,82,-8.27,-72.74,78.39,78.39,2.01
Manicoré,BR,1584318139,88,-5.81,-61.3,82.4,82.4,2.24
Aripuanã,BR,1584318142,98,-9.17,-60.63,72.09,72.09,2.06
Sinnamary,GF,1584318144,77,5.38,-52.95,79.88,79.88,16.13
Arraias,BR,1584318146,91,-12.93,-46.94,70.56,70.56,2.06
Trairi,BR,1584318148,96,-3.28,-39.27,74.19,74.19,1.92
Custódia,BR,1584318151,90,-8.09,-37.64,73.54,73.54,2.08
Capinópolis,BR,1584318153,83,-18.68,-49.57,74.03,74.03,4.29
San Cristobal,VE,1584318155,65,7.77,-72.22,78.8,78.8,4.7
San Rafael,AR,1584318158,52,-34.62,-68.33,63.72,63.72,8.03
Carmo do Paranaíba,BR,1584318160,53,-19.0,-46.32,72.0,72.0,3.56
Benjamín Aceval,PY,1584318163,61,-24.97,-57.57,82.4,82.4,11.41
San Ramon,US,1584318102,71,37.78,-121.98,55.0,48.0,10.29
Sacama,EC,1584318168,65,-3.9,-79.27,77.0,77.0,9.17
Novo Aripuanã,BR,1584318171,96,-5.12,-60.38,75.06,75.06,2.68
Bariloche,AR,1584318173,51,-41.15,-71.31,62.6,62.6,5.82
Cururupu,BR,1584318175,99,-1.83,-44.87,73.98,73.98,2.26
Young,UY,1584318177,87,-32.68,-57.63,66.99,66.99,4.03
Acaraú,BR,1584317941,94,-2.89,-40.12,76.41,76.41,3.33
Itaituba,BR,1584318182,99,-4.28,-55.98,69.85,69.85,1.3
Sobral,BR,1584318184,96,-3.69,-40.35,73.71,73.71,1.5
Ayacucho,PE,1584318186,40,-13.16,-74.22,71.6,71.6,4.7
Santa Isabel Rio Negro,BR,1584318188,95,-0.41,-65.02,76.8,76.8,2.68
Caucaia,BR,1584318191,88,-3.74,-38.65,80.6,80.01,3.36
Uruguaiana,BR,1584318193,100,-29.75,-57.09,69.8,69.8,3.36
Humaitá,BR,1584318195,96,-7.51,-63.02,75.88,75.88,2.06
Boa Viagem,BR,1584318197,93,-5.13,-39.73,72.91,72.91,2.21
Iquique,CL,1584318199,64,-20.22,-70.14,73.4,73.4,13.87
Santa Quitéria,BR,1584317943,91,-4.33,-40.16,71.1,71.1,1.66
Vicuña,CL,1584318204,87,-30.03,-70.71,60.8,60.8,5.82
Vilhena,BR,1584318206,83,-12.74,-60.15,77.0,77.0,3.36
Irituia,BR,1584318208,98,-1.77,-47.44,71.69,71.69,2.35
Iquitos,PE,1584318005,83,-3.75,-73.25,82.4,82.4,3.06
Caucayá,CO,1584317659,81,-0.19,-74.78,76.86,76.86,2.06
Vallenar,CL,1584318215,91,-28.57,-70.76,58.32,58.32,3.6
San Francisco,US,1584318138,58,37.77,-122.42,55.0,48.0,13.87
