Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.856598353,8.262240877,5.9924829,7.241768715,7.933171408,7.689165792,8.136615286,6.768693063,-2.962963764,1.993279538,2.57051343,0.612051095,1.057909556,2.41800282,4.133514899,4.668314467,4.572306501,3.840315458,
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.348075732,-1.937486192,0.350072344,0.388663246,-0.354026626,-1.226162597,0.192081605,-1.261538911,-3.553981084,-0.35377926,-0.991929406,1.989329647,4.207493605,2.706556785,0.180519551,-0.441055395,-0.940563981,-3.110625106,
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.076894829,1.021416586,-2.989196121,-0.940930891,1.496829479,0.604837246,-0.464585359,-4.112188026,-5.798725615,0.011727934,-0.684017478,1.950775485,-3.899399537,-0.205232091,-0.362951164,-0.543773106,-0.937249831,0.544150189,
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.279462441,5.19146196,3.922985,6.043001588,8.726415158,5.414666045,5.929797779,5.665843216,-2.526767514,1.595746394,2.129150353,0.848511513,4.152910293,2.905465111,4.673702515,4.458294041,3.186242188,4.483914305,
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.423651191,7.982069183,5.572385837,1.780361776,0.987444297,1.63497133,-3.982648864,-2.648709831,2.567482608,3.189813054,
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.825546531,2.189182179,6.468402024,1.968907935,-0.059091798,1.878831785,-1.49656617,0.60526286,-1.834970614,0.879869659,-0.242059957,0.573592985,-1.398684164,1.447247899,1.263488278,-2.602978122,-0.551942156,1.071369529,
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.071369604,-2.116731459,2.736270805,1.655070593,1.018080926,4.94027207,2.267374058,0.929051522,-5.808003155,-1.324384803,-2.501103308,-5.178203827,-2.815614911,,,,,,
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.235706734,0.579771055,0.83134905,2.298481738,2.574813306,2.97734206,2.781323569,4.3685374,1.649225543,2.42927786,3.510975031,3.453697676,5.127573478,3.843757228,3.282718711,2.732039942,2.696065296,2.752155942,
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.013369738,1.709474389,-0.122936492,4.497077078,2.026307404,2.834754095,4.974704674,4.054409568,-1.081943896,6.524372804,3.026406873,1.014509775,2.108930719,-0.35247322,-4.351591267,-4.098606982,0.251381945,0.328077907,
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.718381719,0.446436607,1.838780549,1.059787136,3.564575482,5.228913034,1.411521891,0.463148917,-5.251185826,-2.526506705,-1.094785507,-0.317909721,-1.576175303,-0.354732941,2.026139671,2.110096546,-0.325475119,-0.640057736,
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.668516263,1.850859099,1.007490916,-1.212542787,-1.174474607,2.945930386,-1.101340324,-3.091355247,-2.912176,1.347649387,2.416642103,-0.427894474,-3.440627445,-3.624205175,-1.79814526,-3.602333016,0.213081518,-0.994788509,
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.083936524,8.762050478,5.793197416,4.187319629,5.646036543,5.58845052,17.0317608,3.748209376,5.692374701,10.77336789,6.768529462,3.877056714,0.875533068,4.479326562,5.350000462,6.830610935,3.408339123,1.822273166,
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.625759367,4.205052917,2.83089265,0.894957601,2.606769099,6.189992328,5.993347155,4.0169686,-9.4420183,6.72754459,4.55935823,3.219369515,10.1026078,2.848903521,-3.185996973,2.40941658,0.798912535,2.183074073,
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.174749423,1.433364457,-7.324376183,3.888463844,-1.053466435,2.743704761,2.61553604,0.254521218,6.978613121,3.458686168,3.443144974,4.632756721,-36.55681955,-0.282852498,3.663820259,3.722663357,3.200431219,2.224742848,
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.309869789,2.303577116,2.879569876,2.948998239,4.008877922,3.118693054,5.835793377,-0.080294859,-4.03041986,1.94962821,2.142309001,0.663303088,1.25465502,1.839459846,-0.058784637,-0.031327848,1.764529713,0.471065971,
Central Europe and the Baltics,CEB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.7737481,4.216987695,4.419397442,6.107727893,5.25979738,6.861368873,6.817083903,4.286797327,-3.264571823,1.964768325,3.47583684,0.993176428,1.476127539,3.257776452,4.148217921,3.314188915,5.059647368,4.536429752,
Switzerland,CHE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.673218925,-0.592227281,-0.699897655,2.072208559,2.456755606,3.33817619,3.185475532,0.864958951,-3.436230711,1.935532047,0.568314659,-0.060750328,0.687567337,1.206787664,0.186413499,0.617849426,0.853947375,1.969887247,
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.944965414,-1.960327195,-3.50660947,-0.206714252,0.734757718,3.970625085,4.783437394,,,,,,,,,,,,
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.146189438,2.000617675,3.005830357,6.102839367,4.64670087,5.200451342,3.790339389,2.426197172,-2.601446898,4.750223814,5.05778792,4.309217504,3.03152589,0.692556387,1.105944345,0.332088719,-0.153995449,2.587676494,
